"Release year","Mean"
1946,5.625
1947,6.6
1954,7.6
1955,7.7
1956,7.6
1958,7
1960,6.85
1962,7.32
1964,7.5
1965,7.65
1966,6.7
1968,7.8
1969,6.4
1971,5.975
1972,7.23333333333333
1973,6.51111111111111
1974,6.725
1975,7.3
1976,6.82857142857143
1977,6.36666666666667
1978,6.66
1979,7.46666666666667
1980,6.825
1981,6.925
1982,7.3
1983,8.16666666666667
1984,6.23333333333333
1985,6.85
1986,7.13333333333333
1987,6.8
1988,6.82
1989,6.51666666666667
1990,6.5
1991,6.32857142857143
1992,6.91428571428571
1993,6.81428571428571
1994,7.13333333333333
1995,6.26666666666667
1996,6.5
1997,6.39
1998,6.625
1999,6.46842105263158
2000,6
2001,6.52380952380952
2002,6.64516129032258
2003,6.13529411764706
2004,6.4972972972973
2005,6.36857142857143
2006,6.33148148148148
2007,6.54363636363636
2008,6.30615384615385
2009,6.38513513513514
2010,6.0625
2011,6.12741935483871
2012,5.90722891566265
2013,6.04137931034483
2014,5.95769230769231
2015,6.02347826086956
2016,5.75885885885886
2017,5.78583815028902
2018,5.75522788203753
2019,5.725
2020,6.4
